zipcode,cd,state,city,state_fips_code
00981,7200,PR,CAROLINA,72
00982,7200,PR,CAROLINA,72
00983,7200,PR,CAROLINA,72
00984,7200,PR,CAROLINA,72
00985,7200,PR,CAROLINA,72
00986,7200,PR,CAROLINA,72
00987,7200,PR,CAROLINA,72
00988,7200,PR,CAROLINA,72
01001,2501,MA,AGAWAM,25
01002,2502,MA,AMHERST,25
01003,2502,MA,AMHERST,25
01004,2502,MA,AMHERST,25
01005,2502,MA,BARRE,25
01007,2501,MA,BELCHERTOWN,25
01007,2502,MA,BELCHERTOWN,25
01008,2501,MA,BLANDFORD,25
01009,2501,MA,BONDSVILLE,25
01010,2501,MA,BRIMFIELD,25
01011,2501,MA,CHESTER,25
01012,2502,MA,CHESTERFIELD,25
01013,2501,MA,CHICOPEE,25
01014,2501,MA,CHICOPEE,25
01020,2501,MA,CHICOPEE,25
01021,2501,MA,CHICOPEE,25
01022,2501,MA,CHICOPEE,25
01026,2501,MA,CUMMINGTON,25
01026,2502,MA,CUMMINGTON,25
01027,2501,MA,EASTHAMPTON,25
01027,2502,MA,EASTHAMPTON,25
01028,2501,MA,EAST LONGMEADOW,25
01029,2501,MA,EAST OTIS,25
01030,2501,MA,FEEDING HILLS,25
01031,2501,MA,GILBERTVILLE,25
01031,2502,MA,GILBERTVILLE,25
01032,2502,MA,GOSHEN,25
01033,2501,MA,GRANBY,25
01034,2501,MA,GRANVILLE,25
01035,2502,MA,HADLEY,25
01036,2501,MA,HAMPDEN,25
01037,2502,MA,HARDWICK,25
01038,2502,MA,HATFIELD,25
01039,2502,MA,HAYDENVILLE,25
01040,2501,MA,HOLYOKE,25
01041,2501,MA,HOLYOKE,25
01050,2501,MA,HUNTINGTON,25
01053,2502,MA,LEEDS,25
01054,2502,MA,LEVERETT,25
01056,2501,MA,LUDLOW,25
01057,2501,MA,MONSON,25
01059,2502,MA,NORTH AMHERST,25
01060,2502,MA,NORTHAMPTON,25
01061,2502,MA,NORTHAMPTON,25
01062,2501,MA,FLORENCE,25
01062,2502,MA,FLORENCE,25
01063,2502,MA,NORTHAMPTON,25
01066,2502,MA,NORTH HATFIELD,25
01068,2502,MA,OAKHAM,25
01069,2501,MA,PALMER,25
01070,2501,MA,PLAINFIELD,25
01070,2502,MA,PLAINFIELD,25
01071,2501,MA,RUSSELL,25
01072,2502,MA,SHUTESBURY,25
01073,2501,MA,SOUTHAMPTON,25
01074,2502,MA,SOUTH BARRE,25
01075,2501,MA,SOUTH HADLEY,25
01077,2501,MA,SOUTHWICK,25
01079,2501,MA,THORNDIKE,25
01080,2501,MA,THREE RIVERS,25
01081,2501,MA,WALES,25
01082,2501,MA,WARE,25
01082,2502,MA,WARE,25
01083,2501,MA,WARREN,25
01084,2502,MA,WEST CHESTERFIELD,25
01085,2501,MA,WESTFIELD,25
01086,2501,MA,WESTFIELD,25
01088,2502,MA,WEST HATFIELD,25
01089,2501,MA,WEST SPRINGFIELD,25
01090,2501,MA,WEST SPRINGFIELD,25
01092,2501,MA,WEST WARREN,25
01093,2502,MA,WHATELY,25
01094,2502,MA,WHEELWRIGHT,25
01095,2501,MA,WILBRAHAM,25
01096,2502,MA,WILLIAMSBURG,25
01097,2501,MA,WORONOCO,25
01098,2501,MA,WORTHINGTON,25
01098,2502,MA,WORTHINGTON,25
01101,2501,MA,SPRINGFIELD,25
01103,2501,MA,SPRINGFIELD,25
01104,2501,MA,SPRINGFIELD,25
01105,2501,MA,SPRINGFIELD,25
01106,2501,MA,LONGMEADOW,25
01107,2501,MA,SPRINGFIELD,25
01108,2501,MA,SPRINGFIELD,25
01109,2501,MA,SPRINGFIELD,25
01111,2501,MA,SPRINGFIELD,25
01115,2501,MA,SPRINGFIELD,25
01116,2501,MA,LONGMEADOW,25
01118,2501,MA,SPRINGFIELD,25
01119,2501,MA,SPRINGFIELD,25
01128,2501,MA,SPRINGFIELD,25
01129,2501,MA,SPRINGFIELD,25
01138,2501,MA,SPRINGFIELD,25
01139,2501,MA,SPRINGFIELD,25
01144,2501,MA,SPRINGFIELD,25
01151,2501,MA,INDIAN ORCHARD,25
01152,2501,MA,SPRINGFIELD,25
01199,2501,MA,SPRINGFIELD,25
01201,2501,MA,PITTSFIELD,25
01202,2501,MA,PITTSFIELD,25
01220,2501,MA,ADAMS,25
01222,2501,MA,ASHLEY FALLS,25
01223,2501,MA,BECKET,25
01224,2501,MA,BERKSHIRE,25
01225,2501,MA,CHESHIRE,25
01226,2501,MA,DALTON,25
01227,2501,MA,DALTON,25
01229,2501,MA,GLENDALE,25
01230,2501,MA,GREAT BARRINGTON,25
01235,2501,MA,HINSDALE,25
01236,2501,MA,HOUSATONIC,25
01237,2501,MA,LANESBOROUGH,25
01238,2501,MA,LEE,25
01240,2501,MA,LENOX,25
01242,2501,MA,LENOX DALE,25
01243,2501,MA,MIDDLEFIELD,25
01244,2501,MA,MILL RIVER,25
01245,2501,MA,MONTEREY,25
01247,2501,MA,NORTH ADAMS,25
01253,2501,MA,OTIS,25
01254,2501,MA,RICHMOND,25
01255,2501,MA,SANDISFIELD,25
01256,2501,MA,SAVOY,25
01257,2501,MA,SHEFFIELD,25
01258,2501,MA,SOUTH EGREMONT,25
01259,2501,MA,SOUTHFIELD,25
01260,2501,MA,SOUTH LEE,25
